elec_demand_CO1,elec_demand_FL1,elec_demand_GC1,elec_demand_GC2,elec_demand_GC3,elec_demand_GC4,elec_demand_ID1,elec_demand_KY1,elec_demand_MT1,elec_demand_NE1,elec_demand_OK1,elec_demand_TX2,elec_demand_WY1,elec_demand_eastern0,elec_demand_eastern1,elec_demand_eastern2,elec_demand_eastern3,elec_demand_eastern4,elec_demand_eastern5,elec_demand_eastern6,elec_demand_western1,elec_demand_western2,elec_demand_western3
10453.0,45909.0,11643.0,16837.0,5182.0,10454.0,3754.0,11741.0,2181.0,5860.0,11152.0,39270.0,3385.0,147503.0,3785.0,32738.0,29406.0,105309.0,62532.0,23277.0,24424.0,59735.0,18714.0
10613.0,50414.0,12568.0,18176.0,5594.0,11103.0,3666.0,12517.0,2215.0,6104.0,11547.0,42392.0,3395.0,153183.0,3896.0,34479.0,30949.0,111355.0,66408.0,25181.0,24009.0,57695.0,19061.0
10883.0,51415.0,12857.0,18594.0,5723.0,11695.0,3867.0,12890.0,2334.0,6070.0,11452.0,43367.0,3439.0,152944.0,4252.0,37047.0,31616.0,113805.0,69056.0,26182.0,24863.0,58884.0,19752.0
11321.0,48501.0,12623.0,18255.0,5618.0,11696.0,4176.0,12893.0,2482.0,6045.0,11052.0,42578.0,3511.0,153874.0,4423.0,38234.0,31385.0,112062.0,69428.0,26429.0,26295.0,61547.0,20923.0
11516.0,44084.0,12437.0,17986.0,5535.0,11319.0,4449.0,12873.0,2640.0,6012.0,10863.0,41949.0,3551.0,154278.0,4394.0,38616.0,31045.0,108504.0,70093.0,26574.0,28437.0,65428.0,21135.0
11564.0,40465.0,12227.0,17683.0,5442.0,11123.0,4537.0,12682.0,2715.0,6045.0,10530.0,41242.0,3581.0,154568.0,4365.0,39724.0,30613.0,105181.0,70745.0,26991.0,29504.0,66824.0,20930.0
11557.0,37990.0,11959.0,17296.0,5323.0,10869.0,4581.0,12354.0,2721.0,5992.0,10231.0,40340.0,3594.0,151419.0,4424.0,40269.0,30060.0,101819.0,69582.0,26340.0,29502.0,67913.0,20752.0
11681.0,35929.0,11779.0,17035.0,5243.0,10633.0,4623.0,12105.0,2745.0,5939.0,9923.0,39732.0,3636.0,148362.0,4373.0,39848.0,29358.0,98289.0,67641.0,25937.0,29626.0,69521.0,20694.0
11437.0,34537.0,11556.0,16711.0,5143.0,10446.0,4678.0,11834.0,2750.0,5800.0,9664.0,38977.0,3639.0,146035.0,4313.0,38651.0,28692.0,95834.0,65748.0,25718.0,29861.0,71233.0,20439.0
11086.0,33314.0,11339.0,16398.0,5047.0,10292.0,4568.0,11552.0,2718.0,5690.0,9410.0,38248.0,3589.0,144069.0,4254.0,37551.0,28032.0,93535.0,64380.0,25571.0,29792.0,70746.0,20150.0
10739.0,32854.0,11224.0,16233.0,4996.0,10227.0,4449.0,11427.0,2665.0,5677.0,9335.0,37859.0,3574.0,146121.0,4175.0,36593.0,27745.0,92020.0,63255.0,25682.0,29527.0,68987.0,19891.0
10698.0,33259.0,11204.0,16204.0,4987.0,10208.0,4336.0,11648.0,2637.0,5755.0,9697.0,37791.0,3590.0,152581.0,4135.0,35753.0,27960.0,92339.0,63594.0,26527.0,29331.0,67793.0,19641.0
10604.0,35273.0,11508.0,16643.0,5123.0,10445.0,4262.0,12061.0,2624.0,5853.0,10196.0,38818.0,3611.0,155989.0,4189.0,36506.0,28625.0,96040.0,66052.0,27601.0,28937.0,66634.0,19683.0
